what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620450420
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1711620451260
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711620454147
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711620454610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620466282
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711620466374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620474588
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1711620474714
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1711620478852
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1711620479064
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711620496650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620504226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620551574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620573604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620573619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620573853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620694932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620751024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620769598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620892630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620904885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711620905359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621138082
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1711621151995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1711621152083
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1711621152083
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711621154218
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711621246058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621248839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621490266
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711621572274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621728297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711622082628
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711622115487
