what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1715145306524
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1715145306534
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1715145306537
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1715145306541
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1715145306542
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1715145306543
os,sysinfo,,,"win32",1715145306547
arch,sysinfo,,,"x86",1715145306547
ws,sysinfo,,,"win32",1715145306547
locale,sysinfo,,,"en_US",1715145306547
processors,sysinfo,,,"8",1715145306548
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1715145306548
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1715145306548
java.specification.name,sysinfo,,,"Java Platform API Specification",1715145306548
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1715145306548
java.specification.version,sysinfo,,,"1.6",1715145306548
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1715145306548
java.version,sysinfo,,,"1.6.0_23",1715145306548
java.vm.info,sysinfo,,,"mixed mode",1715145306548
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1715145306548
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1715145306548
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1715145306548
java.vm.specification.version,sysinfo,,,"1.0",1715145306548
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1715145306548
java.vm.version,sysinfo,,,"19.0-b09",1715145306548
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1715145306839
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1715145306949
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1715145306971
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1715145307422
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1715145307610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715145307829
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1715145308146
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1715145308335
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1715145308447
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1715145308613
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1715145308755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715145313485
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1715145314263
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1715145315922
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1715145316337
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1715145316761
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1715145317339
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1715145317877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715145325041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715145338248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715145400522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715145402591
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1715145403283
