what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1715517618942
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1715517618945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715517619308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715517661302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715517717415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715517719415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715517725455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715517862897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715517870191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715517881969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715517886724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715517896859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715517901866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715517903747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715517919511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518009383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1715518009412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1715518009412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518009737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518013593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518023132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518046328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1715518046357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1715518046357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518046693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518050515
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1715518064550
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1715518064560
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1715518064702
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1715518065008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518073595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518097030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1715518100964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518112490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518116592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1715518117665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518131101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518135456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1715518136444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518165055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518169365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1715518174137
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1715518206437
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1715518207870
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1715518208003
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1715518214543
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1715518218890
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1715518235410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518259430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518265237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1715518266510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518282855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1715518287642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1715518288874
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1715518298540
