what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718301525539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718301565844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718301613375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718301794555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1718301797592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1718301798267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718301800109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718301954583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718301956942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718301998114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718301999684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718302033354
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718302046233
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1718302057731
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1718302057731
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1718302057731
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1718302064265
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1718302064362
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1718302064362
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1718302064362
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1718302064362
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1718302064362
