what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1711173669147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1711173673224
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711173675895
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711173683358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173687212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173688712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173702316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173708957
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1711173708973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1711173708973
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711173708985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173709008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173711249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173724360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173729288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173729897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173733713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173742329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173742462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173743643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173755201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173777036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173778958
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1711173780028
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1711173780035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173780266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173784283
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711173789000
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1711173789494
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1711173789512
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1711173796227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173799310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173804150
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1711173804181
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1711173804182
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1711173804449
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1711173804526
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1711173804702
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.debugPerspective",1711173804854
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711173804877
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1711173858596
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1711173858687
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711173862557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173872928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173884446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1711173888325
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1711173905190
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711173905615
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1711173908386
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711173913690
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711173919211
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711173934090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173957653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711173966183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1711173968218
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1711174021895
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1711174024583
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711174028301
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1711174030435
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1711174033741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711174043010
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711174065586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711174065602
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1711174065610
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1711174083766
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711174086739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711174121879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711174152297
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1711174152327
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711174160800
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711174171117
